
Lista de Imoveis da Caixa;;Data de geracao:;26/06/2026;;;;;;
N do imovel;UF;Cidade;Bairro;Endereco;Preco;Valor de avaliacao;Desconto;Financiamento;Descricao;Modalidade de venda;Link de acesso
1555510965991;SC;GASPAR;FIGUEIRA;RUA LIRIO, N. SN, LT 35,;170000;164000;0;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555510965991
10278711;SC;GOVERNADOR CELSO RAMOS;AREIAS DO MEIO;RUA 302(ANTIGA PROJETADA VIA-6), N. S/N, QD K, LT 11;117702.16;187000;37.06;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 359.81 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10278711
8787701134503;SC;ICARA;TEREZA CRISTINA;RUA MELCHIADES BONIFACIO ESPINDOLA, N. SN, Apto 302, BL 06;215000;215000;0;Nao;Apartamento, 68.53 de área total, 58.55 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701134503
8444433706628;SC;ICARA;Raichaski;RUA PROJETADA 04, N. 119, CS 01;321094.69;305000;0;Nao;Casa, 74.87 de área total, 50.87 de área privativa, 190.52 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433706628
8444432468472;SC;INDAIAL;RIBEIRAO DAS PEDRAS;RUA A DO LOTEAMENTO VALE J, N. 376, CS A;142037.17;235000;39.56;Nao;Casa, 36.63 de área total, 36.63 de área privativa, 180.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444432468472
8787702567187;SC;INDAIAL;RIBEIRAO DAS PEDRAS;RUA MARECHAL DEODORO DA FONSECA, N. 3131, Apto 17, BL C;131762.14;218000;39.56;Nao;Apartamento, 60.94 de área total, 52.84 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702567187
8444416463216;SC;INDAIAL;POLAQUIA;RUA ADOLFO MOLINARI, N. 215, Apto 204, BL A BOX112;295000;295000;0;Nao;Apartamento, 85.07 de área total, 58.35 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416463216
8555528293608;SC;ITAJAI;CORDEIROS;RUA JAIME FERNANDES VIEIRA, N. 420, Apto 103, BLOCO D;320000;320000;0;Nao;Apartamento, 74.25 de área total, 60.99 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555528293608
8787715132230;SC;ITAJAI;ESPINHEIROS;RUA JOAO GOTTARDI, N. 365, Apto 122, BL A;250000;250000;0;Nao;Apartamento, 36.57 de área total, 29.26 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715132230
8555527021671;SC;ITAPEMA;Casa Branca;RUA 880 A, N. 144, Apto 802, BL C;360000;360000;0;Nao;Apartamento, 61.40 de área total, 49.98 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555527021671
