
Lista de Imoveis da Caixa;;Data de geracao:;25/06/2026;;;;;;
N do imovel;UF;Cidade;Bairro;Endereco;Preco;Valor de avaliacao;Desconto;Financiamento;Descricao;Modalidade de venda;Link de acesso
8444428728694;RS;CACHOEIRINHA;PARQUE MARECHAL RONDON;RUA ROMENIA, N. 305, Apto 504D, BL D;133000;133000;0;Nao;Apartamento, 45.51 de área total, 40.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428728694
8555521954560;RS;CACHOEIRINHA;JARDIM BETANIA;AVENIDA DA FEDERACAO (ANTIGA RUA 01), N. 685, Apto BL G, LT 22 QD K;136000;136000;0;Nao;Apartamento, 47.62 de área total, 43.20 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521954560
8787704416720;RS;CACHOEIRINHA;JARDIM BETANIA;ESTRADA DOS CAPISTRANOS, N. 238, CS 02 LT 7 QD B;138155;138155;0;Nao;Casa, 29.48 de área total, 29.48 de área privativa, 96.59 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704416720
8787701394572;RS;CACHOEIRINHA;CHACARA DAS ROSAS;RUA ACAI, N. 220, CS 06;154000;154000;0;Nao;Casa, 50.43 de área total, 50.43 de área privativa, 98.05 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701394572
8787701310999;RS;CACHOEIRINHA;FAZENDA ESPERANCA;RUA OPALA, N. 400, CS 02 ANTIGA RUA 11;140000;140000;0;Nao;Casa, 40.97 de área total, 40.97 de área privativa, 43.52 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701310999
8787713982857;RS;CACHOEIRINHA;FAZENDA ESPERANCA;RUA 42, N. 59, CS 10;170000;170000;0;Nao;Casa, 44.82 de área total, 43.64 de área privativa, 84.48 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713982857
8787712908564;RS;CACHOEIRINHA;PARQUE MARECHAL RONDON;RUA CANARINHO, N. 70, Apto 402, BL 16;136155.91;135000;0;Nao;Apartamento, 76.62 de área total, 41.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712908564
8787716450724;RS;CACHOEIRINHA;AGUAS MORTAS;ESTRADA DOS CAPISTRANOS, N. 525, Apto 330, BL H LT A;192428.05;185000;0;Nao;Apartamento, 83.02 de área total, 48.15 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716450724
8444430140968;RS;CACHOEIRINHA;VILA VISTA ALEGRE;AVENIDA JOSE BRAMBILA, N. 372, Apto 306,;142807.37;124000;0;Nao;Apartamento, 40.63 de área total, 33.29 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430140968
10145764;RS;CAMAQUA;SANTA MARTA;RUA GUADALAJARA, N. 446;543240.06;1500000;6379;Nao;Casa, 0.00 de área total, 660.91 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10145764
8555508645207;RS;CAMAQUA;BOM SUCESSO;RUA PANAMBI, N. 103, LT 488;85466.19;140000;3896;Nao;Casa, 90.96 de área total, 90.96 de área privativa, 201.37 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555508645207
8555507176351;RS;CAMAQUA;JARDIM DO FORTE;RUA GENERAL ZECA NETTO, N. 2500, Apto 102, BL 01;177531.89;177531.89;0;Nao;Apartamento, 52.70 de área total, 46.90 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555507176351
1555534606410;RS;CAMPO BOM;IMIGRANTE NORTE;RUA DEZESSETE DE ABRIL, N. SN, QD 08, LT 78;123996.39;197000;3706;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 375.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555534606410
10217977;RS;CANELA;DISTRITO INDUSTRIAL;RUA JULIO TRAVI, N. 00, QD A 16-1, LT 01;2292897.52;3690000;3787;Nao;Comercial, 0.00 de área total, 2300.00 de área privativa, 7435.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10217977
8787712130580;RS;CANOAS;RIO BRANCO;RUA MACHADINHO, N. 1704, Apto 202, BL 07;62586.28;158000;6039;Nao;Apartamento, 0.00 de área total, 41.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712130580
8444411730283;RS;CANOAS;GUAJUVIRAS;AVENIDA 1, N. 2274, Apto 202, BL 15;52264.31;110000;5249;Nao;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411730283
8444416114653;RS;CANOAS;GUAJUVIRAS;AVENIDA 1, N. S/N, Apto 302, BLOCO 07;40943.26;85000;5184;Nao;Apartamento, 0.00 de área total, 29.87 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416114653
8444408356740;RS;CANOAS;Bairro Guajuviras;AVENIDA 1, N. 2158, Apto 403, BL 08, LT 04, QD O, SETOR 06;62845.42;130000;5166;Nao;Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408356740
